STOCKCODE,NAME_ENG,NAME_CHI,BOARD_LOT
0980.HK,LIANHUA,聯華超市,1000
0981.HK,SMIC,中芯國際,500
0982.HK,IONE HOLDINGS,卓智控股,20000
0983.HK,SOCAM DEV,瑞安建業,2000
0984.HK,AEON STORES,永旺,500
0985.HK,CST GROUP,中譽集團,8000
0986.HK,CH ENV ENERGY,中國環保能源,2000
0987.HK,CH RENEW EN INV,中國再生能源投資,2000
0988.HK,LOUDONG GN RES,樓東俊安資源,3000
0989.HK,GROUND INTL DEV,廣澤國際發展,5000
0990.HK,THEME INT'L,榮暉國際,10000
0991.HK,DATANG POWER,大唐發電,2000
0992.HK,LENOVO GROUP,聯想集團,2000
0993.HK,HUARONG INT FIN,華融金控,1000
0994.HK,WIN WIN WAY,恆誠建築,4000
0995.HK,ANHUIEXPRESSWAY,安徽皖通高速公路,2000
0996.HK,CARNIVAL GROUP,嘉年華國際,10000
0997.HK,CHINLINK INTL,普匯中金國際,5000
0998.HK,CITIC BANK,中信銀行,1000
0999.HK,I.T,I.T,2000
1000.HK,BEIJING MEDIA,北青傳媒,500
1001.HK,HK SH ALLIANCE,滬港聯合,2000
1002.HK,V.S. INT'L,威鋮國際,4000
1003.HK,HUANXI MEDIA,歡喜傳媒,10000
1004.HK,C SMARTERENERGY,中國智慧能源,2000
1005.HK,MATRIX HOLDINGS,MATRIX HOLDINGS,2000
1006.HK,CHANGSHOUHUA,長壽花食品,1000
1007.HK,DAQING DAIRY,大慶乳業,1000
1008.HK,BRILLIANT CIR,貴聯控股,2000
1009.HK,INT'L ENT,國際娛樂,2000
1010.HK,PACRAY INT'L,太睿國際控股,2000
1011.HK,NT PHARMA,泰凌醫藥,500
1013.HK,WAI CHUN GROUP,偉俊集團控股,2000
1019.HK,CONVOY,康宏環球,6000
1020.HK,CYBERNAUT INT'L,賽伯樂國際控股,4000
1021.HK,MIDAS HLDGS-S,麥達斯控股—Ｓ,1000
1022.HK,FEIYU,飛魚科技,1500
1023.HK,SITOY GROUP,時代集團控股,1000
1026.HK,UNIVERSAL TECH,環球實業科技,10000
1027.HK,CH JICHENG-NEW,中國集成控股,10000
1028.HK,C.BANNER,千百度,1000
1029.HK,IRC,鐵貨,2000
1030.HK,FUTURE LAND,新城發展控股,2000
1031.HK,KINGSTON FIN,金利豐金融,2000
1033.HK,SINOPEC SSC,中石化油服,2000
1035.HK,BBI LIFE SCI,ＢＢＩ生命科學,1500
1036.HK,VANKE PPT OVS,萬科置業海外,1000
1037.HK,MAXNERVA TECH,雲智匯科技,2000
1038.HK,CKI HOLDINGS,長江基建集團,500
1039.HK,FORTUNET E-COMM,鑫網易商,1000
1041.HK,LAMTEX HLDGS,林達控股,10000
1043.HK,COSLIGHT TECH,光宇國際集團科技,2000
1044.HK,HENGAN INT'L,恒安國際,500
1045.HK,APT SATELLITE,亞太衛星,500
1046.HK,UNI INTL FIN,寰宇國際金融,5000
1047.HK,NGAI HING HONG,毅興行,2000
1048.HK,YORKSHINE HLDGS,煜新控股,1000
1049.HK,CELESTIAL ASIA,時富投資,6000
1050.HK,KARRIE INT'L,嘉利國際,2000
1051.HK,G-RESOURCES,國際資源,3000
1052.HK,YUEXIUTRANSPORT,越秀交通基建,2000
1053.HK,CHONGQING IRON,重慶鋼鐵股份,2000
1055.HK,CHINA SOUTH AIR,中國南方航空股份,2000
1057.HK,ZHEJIANG SHIBAO,浙江世寶,2000
1058.HK,GUANGDONG TANN,粵海制革,2000
1059.HK,KANTONE HOLDING,看通集團,3000
1060.HK,ALI PICTURES,阿里影業,10000
1061.HK,ESSEX BIO-TECH,億勝生物科技,1000
1063.HK,SUNCORP TECH,新確科技,10000
1064.HK,ZHONG HUA INT'L,中華國際,5000
1065.HK,TIANJIN CAPITAL,天津創業環保股份,2000
1066.HK,WEIGAO GROUP,威高股份,4000
1068.HK,YURUN FOOD,雨潤食品,1000
1069.HK,CA LOW-CARBON,中國農林低碳,20000
1070.HK,TCL MULTIMEDIA,ＴＣＬ多媒體,1000
1071.HK,HUADIAN POWER,華電國際電力股份,2000
1072.HK,DONGFANG ELEC,東方電氣,200
1073.HK,CHINA AGROTECH,浩倫農科,2000
1075.HK,CAPINFO,首都信息,6000
1076.HK,IMPERIAL PAC,博華太平洋,20000
1079.HK,PINE TECH,松景科技,2000
1080.HK,SHENGLI PIPE,勝利管道,1500
1082.HK,HK EDU INTL,香港教育國際,8000
1083.HK,TOWNGAS CHINA,港華燃氣,1000
1085.HK,HXTL,亨鑫科技,2000
1086.HK,GOODBABY INTL,好孩子國際,1000
1087.HK,INVESTECH HLDGS,威訊控股,1000
1088.HK,CHINA SHENHUA,中國神華,500
1089.HK,LEYOU TECH H,樂遊科技控股,5000
1090.HK,DA MING INT'L,大明國際,2000
1091.HK,CITIC DAMENG,中信大錳,1000
1093.HK,CSPC PHARMA,石藥集團,2000
1094.HK,C P PROCUREMENT,中國公共採購,8000
1096.HK,SINO ENERGY INT,中能國際控股,2000
1097.HK,I-CABLE COMM,有線寬頻,10000
1098.HK,ROAD KING INFRA,ROAD KING INFRA,1000
1099.HK,SINOPHARM,國藥控股,400
1100.HK,MAINLAND HOLD,飛達控股,2000
1101.HK,HUARONG ENERGY,華榮能源,2000
1102.HK,ENVIRO ENERGY,環能國際,2000
1103.HK,DASHENG AGR FIN,大生農業金融,8000
1104.HK,APAC RESOURCES,亞太資源,20000
1105.HK,SING TAO,星島,2000
1106.HK,SINO HAIJING,中國海景,20000
1107.HK,MODERN LAND,當代置業,2000
