STOCKCODE,NAME_ENG,NAME_CHI,BOARD_LOT
0445,CHINA FIRE,中國消防,"5,000"
0449,CHIGO HOLDING,志高控股,"2,000"
0450,HUNG HING PRINT,鴻興印刷集團,"2,000"
0451,GCL NEWENERGY,協鑫新能源,"2,000"
0455,TIANDA PHARMA,天大藥業,"2,000"
0456,NEW CITY DEV,新城市建設發展,"20,000"
0458,TRISTATE HOLD,聯亞集團,"1,000"
0459,MIDLAND IC&I,美聯工商舖,"10,000"
0460,SIHUAN PHARM,四環醫藥,"1,000"
0462,NATURAL DAIRY,天然乳品,"4,000"
0464,KENFORD GROUP,建福集團,"4,000"
0465,FUTONG TECH,富通科技,"2,000"
0467,UNITEDENERGY GP,聯合能源集團,"2,000"
0468,GAPACK,紛美包裝,"1,000"
0469,CAPXON INT'L,凱普松國際,"4,000"
0471,CMMB VISION,中播控股,"4,000"
0472,NEW SILKROAD,新絲路文旅,"10,000"
0474,HAO TIAN DEV,昊天發展集團,"6,000"
0475,ZHONG FA ZHAN,中發展控股,"2,000"
0476,CH DYNAMICS,中國動力控股,"10,000"
0479,CIL HOLDINGS,華建控股,"20,000"
0480,HKR INT'L,香港興業國際,800
0482,SANDMARTIN INTL,聖馬丁國際,"2,000"
0483,BAUHAUS INT'L,包浩斯國際,"2,000"
0484,FORGAME,雲遊控股,100
0485,CHINASINOSTAR,中國華星,"20,000"
0486,RUSAL,RUSAL,"1,000"
0487,SUCCESSUNIVERSE,實德環球,"4,000"
0488,LAI SUN DEV,麗新發展,300
0489,DONGFENG GROUP,東風集團股份,"2,000"
0491,EMPEROR CULTURE,英皇文化產業,"20,000"
0493,GOME RETAIL,國美零售,"1,000"
0494,LI & FUNG,利豐,"2,000"
0495,PALADIN,PALADIN,"5,000"
0496,KASEN,卡森國際,"1,000"
0497,CSI PROPERTIES,資本策略地產,"10,000"
0498,PYI CORP,保華集團,"2,000"
0499,QINGDAO HLDGS,青島控股,"2,000"
0500,FRONTIER SER,先豐服務集團,"1,000"
